ts_event_et,trade_count,total_volume,avg_trade_size,price_range,buy_sell_ratio,realized_vol
2025-07-30 00:00:00-04:00,331945,1019108,3.0701110123665063,160.5,0.9885034146341464,0.00029266123478543225
2025-07-31 00:00:00-04:00,467280,1457836,3.119833932545797,190.75,1.0049482959460556,0.00047911030248813517
2025-08-01 00:00:00-04:00,616596,1753676,2.844124840251964,153.75,1.0166165869185488,0.0007263992648821538
2025-08-04 00:00:00-04:00,279016,958568,3.435530578891533,88.5,0.9871224527871639,0.0004178497419880109
2025-08-05 00:00:00-04:00,377448,1143601,3.0298239757529513,109.25,0.99583723138361,0.00030128529192956525
2025-08-06 00:00:00-04:00,300488,978152,3.2552115225899203,100.25,1.0006790615859769,0.0002747903902801472
2025-08-07 00:00:00-04:00,385108,1159181,3.010015372311144,124.75,0.9889995813286295,0.00044125851398763645
2025-08-08 00:00:00-04:00,274169,964049,3.5162582202947816,92.25,0.9895676831382391,0.00025082958620774456
2025-08-11 00:00:00-04:00,250842,872346,3.4776712033869925,85.5,1.0136467405480394,0.00021186799923737014
2025-08-12 00:00:00-04:00,298363,957405,3.2088596776409943,114.75,1.0400225010707185,0.0003283693657183972
2025-08-13 00:00:00-04:00,266161,891833,3.3507275671492067,125.25,0.997390811625558,0.0002468402512437652
2025-08-14 00:00:00-04:00,282346,909441,3.2210160583114336,132.0,0.997296501923854,0.0003012206672067557
2025-08-15 00:00:00-04:00,265702,856077,3.2219441329007683,84.5,1.0218390940330409,0.00022992282974327913
2025-08-18 00:00:00-04:00,206070,685436,3.3262289513272187,72.0,1.010925434787711,0.00019256873868076567
2025-08-19 00:00:00-04:00,300062,1023131,3.4097319887223305,104.75,1.0025503313669228,0.0002480348884233313
2025-08-20 00:00:00-04:00,429911,1336366,3.1084712882433805,144.0,0.9898598545536847,0.00035197169391112715
2025-08-21 00:00:00-04:00,331451,981618,2.9615780311418582,133.75,0.9834593515483874,0.00041138748969973376
2025-08-22 00:00:00-04:00,410602,1175010,2.861676270451678,148.5,1.0329736874887538,0.00047805996719329407
2025-08-25 00:00:00-04:00,215113,723859,3.3650174559417607,140.75,0.9575078558950312,0.0001949961899586184
2025-08-26 00:00:00-04:00,235389,828818,3.521056633912375,139.25,1.02862233883719,0.00019297934990930398
2025-08-27 00:00:00-04:00,203726,713300,3.501271315394206,84.75,0.9850943984326298,0.00017438192273270858
2025-08-28 00:00:00-04:00,261587,903113,3.4524383856995953,158.5,1.0388599164691275,0.00024228396891227134
2025-08-29 00:00:00-04:00,307611,1072321,3.4859644160969534,96.0,1.002852089197362,0.0002837549052970183
2025-09-02 00:00:00-04:00,374614,1265739,3.3787818928283513,111.0,1.010037969919439,0.0007525790236072532
2025-09-03 00:00:00-04:00,327084,1130444,3.456127477956733,89.5,1.0322625299101662,0.0003228274988378506
2025-09-04 00:00:00-04:00,242978,919341,3.783638847961544,153.75,1.0066419439963854,0.00019963638113739668
2025-09-05 00:00:00-04:00,467036,1389433,2.9750019270463093,196.75,0.9724244742905247,0.00044843063957283956
2025-09-08 00:00:00-04:00,255478,933265,3.6530151324184468,123.0,0.9988070531643075,0.0006256911999426714
